iso_code	glottocode	tier
ace	achi1257	1
acm	meso1252	5
acq	taiz1242	5
aeb	tuni1259	5
afr	afri1274	3
als	tosk1239	1
amh	amha1245	2
apc	nort3139	5
apc	sout3123	5
arb	stan1318	5
arg	arag1245	1
ars	najd1235	5
ary	moro1292	5
arz	egyp1253	3
asm	assa1263	1
ast	astu1245	1
awa	awad1243	0
ayr	cent2142	1
azb	sout2697	1
azj	nort2697	1
bak	bash1264	1
bam	bamb1269	1
ban	bali1278	0
bel	bela1254	3
bem	bemb1257	0
ben	beng1280	3
bho	bhoj1244	1
bjn	banj1239	1
bod	utsa1239	1
bos	bosn1245	3
brx	bodo1269	0
bug	bugi1244	1
bul	bulg1262	3
cat	stan1289	4
ceb	cebu1242	3
ces	czec1258	4
chv	chuv1255	1
cjk	chok1245	?
ckb	cent1972	1
cmn	beij1234	5
cmn	taib1240	5
crh	crim1257	1
cym	wels1247	1
dan	dani1285	3
dar	darg1241	0
deu	stan1295	5
dgo	dogr1250	0
dik	sout2832	0
dyu	dyul1238	0
dzo	dzon1239	1
ekk	esto1258	3
ell	mode1248	3
eng	stan1293	5
epo	espe1235	1
eus	basq1248	4
ewe	ewee1241	1
fao	faro1244	1
fij	fiji1243	1
fil	fili1244	3
fin	finn1318	4
fon	fonn1241	0
fra	stan1290	5
fur	east2271	1
fuv	nige1253	0
gaz	west2721	0
gla	scot1245	1
gle	iris1253	2
glg	gali1258	3
gom	goan1235	0
gug	para1311	0
guj	guja1252	1
hat	hait1244	0
hau	haus1257	2
heb	hebr1245	3
hin	hind1269	4
hne	chha1249	?
hrv	croa1245	4
hun	hung1274	4
hye	nucl1235	1
ibo	nucl1417	1
ilo	ilok1237	1
ind	indo1316	3
isl	icel1247	2
ita	ital1282	4
jav	java1254	1
jpn	nucl1643	5
kaa	kara1467	1
kab	kaby1243	1
kac	kach1280	0
kam	kamb1297	0
kan	nucl1305	1
kas	kash1277	1
kat	nucl1302	3
kaz	kaza1248	3
kbp	kabi1261	0
kea	kabu1256	?
khk	halh1238	1
khm	cent1989	1
kik	kiku1240	1
kin	kiny1244	1
kir	kirg1245	?
kmb	kimb1241	?
kmr	nort2641	0
knc	cent2050	5
kor	kore1280	4
ktu	kitu1246	0
lao	laoo1244	2
lij	geno1240	1
lim	limb1263	1
lin	ling1263	1
lit	lith1251	3
lld	ladi1250	0
lld	gard1241	0
lmo	lomb1257	1
ltg	east2282	1
ltz	luxe1241	1
lua	luba1249	0
lug	gand1255	1
luo	luok1236	?
lus	lush1249	0
lvs	stan1325	3
mag	maga1260	0
mai	mait1250	1
mal	mala1464	1
mar	mara1378	2
mfe	mori1278	0
mhr	gras1239	1
min	mina1268	1
mkd	mace1250	1
mlt	malt1254	2
mni	mani1292	1
mos	moss1236	0
mri	maor1246	1
mya	nucl1310	1
myv	erzy1239	1
nld	dutc1256	4
nno	norw1262	1
nob	norw1259	1
npi	nepa1254	1
nqo	nkoa1234	0
nso	pedi1238	1
nus	nuer1246	0
nya	nyan1308	1
oci	occi1239	1
oci	aran1260	1
ory	oriy1255	1
pag	pang1290	1
pan	panj1256	2
pap	papi1253	?
pbt	sout2649	1
pes	west2369	4
plt	plat1254	1
pol	poli1260	4
por	braz1246	4
prs	dari1249	0
quy	ayac1239	?
ron	roma1327	3
run	rund1242	0
rus	russ1263	4
sag	sang1328	1
san	sans1269	2
sat	sant1410	1
scn	sici1248	1
shn	shan1277	0
sin	sinh1246	0
slk	slov1269	3
slv	slov1268	3
smo	samo1305	1
sna	shon1251	1
snd	sind1272	1
som	soma1255	1
sot	sout2807	1
spa	amer1254	5
srd	sard1257	1
srp	serb1264	4
ssw	swat1243	1
sun	sund1252	1
swe	swed1254	4
swh	swah1253	2
szl	sile1253	1
tam	tami1289	3
taq	tama1365	0
tat	tata1255	1
tel	telu1262	1
tgk	taji1245	1
tha	thai1261	3
tir	tigr1271	2
tpi	tokp1240	1
tsn	tswa1253	2
tso	tson1249	1
tuk	turk1304	1
tum	tumb1250	1
tur	nucl1301	4
twi	akua1239	1
twi	asan1239	1
tyv	tuvi1240	1
uig	uigh1240	1
ukr	ukra1253	3
umb	umbu1257	0
urd	urdu1245	3
uzn	nort2690	3
uzs	sout2699	3
vec	vene1259	1
vie	viet1252	4
vmw	cent2033	0
war	wara1300	1
wol	nucl1347	2
wuu	suhu1238	1
xho	xhos1239	2
ydd	east2295	1
yor	yoru1245	2
yue	xian1255	1
zgh	stan1324	0
zsm	stan1306	3
zul	zulu1248	2
